이산화탄소(도로구간),,,,,,,,,,
- 기준년도 : 2023년,,,,,,,,,,
- 기간 : 평일,,,,,,,,,,
"- 지표 : 전체, 승용차, 버스, 트럭",,,,,,,,,,
- 권역범위 : 시도 시군구 / 읍면동,,,,,,,,,,
"- 도로등급 : 고속도로, 도시고속도로, 일반국도, 특별광역시도, 국가지원지방도, 지방도, 시군도, 연결로",,,,,,,,,,
5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,전체,승용차,버스,트럭
,,,,,,,평일,평일,평일,평일
1013669,1160001701,일반국도,경인로,서울특별시 구로구,0.1570,6,830793.465,529248.495,124443.181,177101.789
1013670,1160001801,일반국도,경인로,서울특별시 구로구,0.1570,6,915637.589,610367.972,129808.116,175461.500
1013671,1160055000,특별광역시도,경인로,서울특별시 구로구,0.0820,1,161238.145,108962.420,8954.676,43321.049
1013672,1160001302,일반국도,경인로,서울특별시 구로구,0.0950,6,744730.069,501583.281,111954.730,131192.058
1013673,1160001402,일반국도,경인로,서울특별시 구로구,0.0950,6,441901.116,287135.764,61791.308,92974.042
1013674,1160055000,특별광역시도,남부순환로,서울특별시 구로구,0.0540,1,138082.586,94488.134,10473.348,33121.103
1013675,1160054300,특별광역시도,경인로,서울특별시 구로구,0.0370,2,81794.094,54148.125,7017.938,20628.032
1013676,1160055000,특별광역시도,경인로,서울특별시 구로구,0.0370,2,62900.871,46122.328,3333.947,13444.596
1013677,1160055800,특별광역시도,남부순환로,서울특별시 구로구,0.1960,2,498571.751,360739.908,36738.866,101092.976
1013678,1160056200,특별광역시도,남부순환로,서울특별시 구로구,0.1960,2,440552.479,299972.349,31104.563,109475.568
1013679,1160013403,특별광역시도,남부순환로,서울특별시 구로구,0.1280,5,1433114.308,1004114.151,124293.154,304707.003
1013680,1160013302,특별광역시도,남부순환로,서울특별시 구로구,0.1280,5,869207.779,599770.374,62374.052,207063.353
1013681,1160051100,특별광역시도,남부순환로,서울특별시 구로구,0.0650,1,82631.270,51125.471,3953.400,27552.399
1013682,1160011004,특별광역시도,남부순환로,서울특별시 구로구,0.0890,4,751417.900,534747.207,57384.658,159286.035
1013683,1160010903,특별광역시도,남부순환로,서울특별시 구로구,0.0890,4,590658.031,407136.396,40650.641,142870.996
1013684,1160051400,특별광역시도,남부순환로,서울특별시 구로구,0.0620,1,165944.312,109913.314,19339.678,36691.320
1013685,1160051100,특별광역시도,남부순환로,서울특별시 구로구,0.1390,2,133460.823,93398.377,7506.459,32555.988
1013686,1160051400,특별광역시도,남부순환로,서울특별시 구로구,0.1390,2,346212.857,227288.951,42995.937,75927.969
1013687,1160051400,특별광역시도,남부순환로,서울특별시 구로구,0.0720,1,179015.037,118529.503,21301.422,39184.112
1013688,1160001702,일반국도,경인로,서울특별시 구로구,0.0720,6,358251.899,237387.856,52838.893,68025.150
1013689,1160001802,일반국도,경인로,서울특별시 구로구,0.0720,6,300441.114,198572.422,43656.979,58211.713
1013690,1160013401,특별광역시도,남부순환로,서울특별시 구로구,0.0790,4,824475.984,585935.726,64629.415,173910.842
1013691,1160010903,특별광역시도,남부순환로,서울특별시 구로구,0.0790,4,575912.962,399063.390,38781.372,138068.200
1013692,1160055800,특별광역시도,남부순환로,서울특별시 구로구,0.0600,1,160889.965,113858.570,13120.865,33910.531
1013694,1160013401,특별광역시도,남부순환로,서울특별시 구로구,0.0750,2,747012.904,528514.117,62477.398,156021.390
1013695,1160054300,특별광역시도,경인로,서울특별시 구로구,0.1130,1,262504.021,162087.520,25966.465,74450.036
1013696,1160013403,특별광역시도,남부순환로,서울특별시 구로구,0.1950,6,2479408.197,1727704.698,222336.164,529367.335
1013697,1160016101,특별광역시도,남부순환로,서울특별시 구로구,0.5320,6,6545783.134,4701599.885,485631.418,1358551.830
1013698,"1160001806,1160001805,1160001805,1160001805,1160001805,1160001805,1160001804,1160001803",일반국도,경인로,서울특별시 구로구,0.5220,6,3293514.858,2096103.916,560926.702,636484.240
1013699,"1160001703,1160001704,1160001705,1160001705,1160001705,1160001705,1160001705,1160001706",일반국도,경인로,서울특별시 구로구,0.5220,6,4866150.686,3228444.794,893370.881,744335.009
1013700,"1160011303,1160044200,1160044200",특별광역시도,개봉로,서울특별시 구로구,0.6000,4,1588464.810,954453.230,307741.721,326269.859
1013701,"1160044100,1160044100,1160011403",특별광역시도,개봉로,서울특별시 구로구,0.6000,4,3003290.521,1999910.576,476415.920,526964.024
