LINK ID,CO2_Hour_0,CO2_Hour_1,CO2_Hour_2,CO2_Hour_3,CO2_Hour_4,CO2_Hour_5,CO2_Hour_6,CO2_Hour_7,CO2_Hour_8,CO2_Hour_9,CO2_Hour_10,CO2_Hour_11,CO2_Hour_12,CO2_Hour_13,CO2_Hour_14,CO2_Hour_15,CO2_Hour_16,CO2_Hour_17,CO2_Hour_18,CO2_Hour_19,CO2_Hour_20,CO2_Hour_21,CO2_Hour_22,CO2_Hour_23
1013669,12214.94476,12451.74498,5446.405094,4301.87069,13359.47916,21844.82043,27745.09262,28396.29323,34099.23189,29027.76048,28790.96026,25258.69029,26837.35843,25258.69029,25100.82348,25219.22359,26067.75771,31316.82929,27962.15949,28041.09289,21904.02049,19871.48525,15865.61484,12905.61207
1013670,13015.1994,16968.91351,8762.285312,6411.428277,9681.256699,17695.54205,24662.62744,31843.42711,29385.71294,29855.88434,30539.77003,29706.28435,29727.65578,29599.42721,30582.51288,29962.74148,31202.28428,31437.36999,32869.25564,34771.31269,32527.31279,30133.7129,26735.65592,22375.88469
1013671,2585.761441,2303.678375,767.8927916,1880.553775,2209.650686,4043.190617,6911.035124,6268.512584,5986.429518,5814.045422,5594.647482,5375.249541,6566.266932,4811.083409,4748.398283,7866.983294,4654.370594,5343.906978,4795.412127,4623.028031,5500.619793,5312.564415,2507.405034,2460.391189
1013672,12013.08272,14126.49542,7786.257319,5691.383326,8045.79923,14979.27598,20818.96897,24823.32988,24155.9364,24285.70735,24860.4073,24971.63954,25138.48792,24953.10084,24044.70415,24934.56213,23877.85578,25064.33308,25954.19106,29328.2359,26436.19747,24786.25247,21820.0592,18668.47886
1013673,6451.042037,4144.589621,2856.72279,2388.407578,5572.951016,11672.75664,15021.21041,15606.60442,18346.24841,16039.79599,15922.71719,14119.70362,14459.23215,13627.97265,13639.68053,13358.69141,14939.25524,16110.04327,15103.16557,17643.77559,12504.01614,11227.85719,9459.967271,6942.773009
1013674,2270.46089,1676.444959,1161.631153,792.0212406,1201.232215,3207.686024,6375.770987,5332.94302,5187.739126,5016.134524,4950.132754,4976.533462,5808.155764,4224.113283,4554.122133,6547.375589,4078.909389,4738.927089,4197.712575,4144.911159,4897.331338,4633.324257,2257.260536,2283.661244
1013675,1077.628782,979.6625289,832.7131496,751.0746055,1066.743643,1251.791009,2144.372424,2639.646258,2830.136195,2993.413283,2617.87598,2492.696879,2470.926601,2770.267929,2503.582018,2704.957094,2841.021334,3270.984333,3613.866218,2568.892854,2710.399663,2519.909727,2487.254309,2008.308184
1013676,572.987283,390.3869401,251.862542,327.4213046,585.5804101,875.2223334,2713.81889,3097.909266,3047.536758,3104.20583,2864.936415,2757.894835,2839.750161,2676.039509,2682.336072,2682.336072,2764.191398,2732.70858,2480.846038,2159.721297,1366.35429,1271.905837,963.3742231,913.0017147
1013677,9220.582125,11187.63964,6976.907141,7284.259879,8452.200281,9835.2876,12232.63895,15367.63687,14599.25503,13861.60846,14845.13722,16043.8129,17181.01803,17519.10604,18471.89952,19025.13445,15490.57797,20039.39848,21729.83854,20316.01595,21022.92724,18256.75261,16904.40056,14906.60777
1013678,6202.604759,4254.926936,3805.462823,3415.927259,6112.711936,10187.85323,12914.60218,13573.81621,13334.10202,15940.99387,16030.8867,17529.10041,16510.31508,18128.38589,18547.88573,18847.52847,18727.67137,15881.06533,13543.85194,12974.53073,13543.85194,12345.28097,9948.139034,7610.925646
