LINK ID,avg_congestion_score,max_volume,total_volume
8102190,0.890151515,1969,42065
8902756,0.869223581,1962,40930
1037031,0.864731297,1408,29221
1037198,0.857025165,1669,34329
1037196,0.856421689,1626,33421
1037027,0.852386541,2130,43574
1014415,0.851565996,1490,30452
8102589,0.851048842,1597,32619
1017503,0.841220036,2948,59518
1018331,0.835243902,1025,20547
1017479,0.833940673,2607,52178
1036585,0.831323819,2032,40542
8102191,0.829229621,1787,35564
1016861,0.825768642,2396,47485
1037209,0.825143954,2605,51588
1037197,0.823664035,2913,57584
1037143,0.823102679,2464,48675
1037328,0.82251508,2542,50180
8905767,0.820439784,3028,59623
8901505,0.820048309,414,8148
1092313,0.8193,2500,49158
1014456,0.817574786,2652,52037
7108373,0.816655511,2241,43923
1037033,0.81595906,1319,25830
8903061,0.815854759,1478,28940
1064416,0.813758812,662,12929
1037087,0.813685637,1599,31226
8901562,0.813461538,1495,29187
5103307,0.811780597,1419,27646
1037024,0.811152864,3526,68643
8901811,0.811054625,1672,32546
1017761,0.810637999,1779,34611
1017745,0.809671765,3138,60978
1091413,0.807457729,2760,53486
1036279,0.806810686,1516,29355
1036960,0.806468605,3164,61240
1091450,0.806072874,3705,71676
1018314,0.805782828,1650,31909
1017739,0.805172517,2792,53953
8897253,0.804014644,2686,51830
8902726,0.803367928,1638,31582
1017729,0.803129322,2410,46453
8901548,0.802783009,1593,30692
1037020,0.802589368,2182,42030
1036255,0.802474937,1330,25615
1017470,0.802242048,2494,48019
1037086,0.801810369,1183,22765
8102709,0.801154147,3834,73719
1013704,0.799793246,1451,27852
1036454,0.799708516,1601,30728
1018577,0.799647365,449,8617
1037201,0.799455706,1776,34076
8901546,0.799150611,1609,30860
8901557,0.79891071,1553,29777
8901504,0.798640537,472,9047
1065936,0.798634337,598,11462
1018063,0.798036291,1341,25684
8901731,0.797925804,1824,34930
1037211,0.797780651,1547,29620
1037178,0.797737468,1709,32720
1014492,0.797648588,2821,54004
8903069,0.797560514,1322,25305
1036961,0.797532362,2884,55202
1018235,0.797058208,1592,30454
1037226,0.796911785,2407,46036
1014147,0.796230441,703,13434
1017742,0.795820251,2548,48666
1037224,0.795083599,1256,23967
1037035,0.794921875,1344,25641
8571679,0.794190601,1915,36501
1013724,0.793783816,2834,53990
8622900,0.79298442,3573,68000
8901575,0.792178263,1466,27872
1065650,0.791890147,1678,31891
8896764,0.791838311,971,18453
8904655,0.790528599,3112,59043
1090432,0.790206386,428,8117
1095753,0.790079365,420,7964
1036710,0.789966924,907,17196
1017740,0.789920606,2792,52931
1014302,0.789542484,510,9664
1093376,0.788975022,387,7328
1013946,0.788747521,3026,57282
1037058,0.787483266,1992,37648
1065294,0.787077827,454,8576
1018236,0.787000945,1411,26651
8102195,0.786980115,6588,124431
1014166,0.785380684,2837,53475
8141700,0.785134798,2003,37743
1065196,0.784899749,665,12527
1014370,0.784800802,2828,53266
7106797,0.784694481,2253,42430
1037044,0.784679618,1956,36836
8102549,0.784590485,5535,104225
1088838,0.784509202,1467,27621
8102699,0.78447462,3001,56501
1017895,0.784438776,1862,35055
8903009,0.784200047,1423,26782
8102700,0.784134834,2932,55178
1018119,0.783980207,6467,121680
1035596,0.783712364,1561,29361
1018425,0.783696338,528,9931
1014373,0.783665725,2833,53283
1037116,0.783528012,1541,28978
1018149,0.783477011,1160,21812
7107014,0.782979358,6427,120773
8901566,0.782781863,816,15330
1092302,0.781769625,3448,64693
1017060,0.781638782,777,14576
1037059,0.781526456,1997,37457
1037187,0.781504065,1435,26915
5103282,0.781188363,1014,19011
1017912,0.781037415,1666,31229
8896089,0.78088141,2600,48727
1037188,0.780879973,3913,73334
8904654,0.780688534,2820,52837
1037026,0.780442609,3148,58964
1092314,0.780174081,2585,48402
8903090,0.779889456,1960,36686
1017792,0.779870058,3027,56656
1017537,0.779098732,736,13762
1018219,0.778883184,3895,72810
1018475,0.778813131,4950,92523
1014372,0.778755869,426,7962
1014170,0.778665814,391,7307
8901643,0.778334036,2372,44309
8903189,0.778185053,7025,131202
1037179,0.778175171,2097,39164
1088834,0.777839233,1582,29533
1017132,0.777816682,1071,19993
8102568,0.777324549,7324,136635
1037193,0.77695564,2382,44417
1063423,0.776859649,2375,44281
1094938,0.776849718,1302,24275
8895254,0.776067701,3801,70796
1096702,0.776048121,1614,30061
1016955,0.775989641,901,16780
1036657,0.775646315,4242,78967
8899654,0.775422855,1616,30074
1036258,0.775362319,1495,27820
8102513,0.774892595,1319,24530
1036450,0.774788719,1696,31537
1064654,0.77440748,1533,28492
1018198,0.774276377,714,13268
8102756,0.77420999,981,18228
8901537,0.773975072,1618,30055
8902203,0.773701994,2491,46255
1036599,0.773502304,1085,20142
1018065,0.773480997,1377,25562
7108803,0.77346803,4009,74420
8102532,0.77332037,2957,54881
1085240,0.773203002,422,7831
1014417,0.773167438,2160,40081
8901739,0.773106061,1760,32656
8104353,0.772978642,1748,32428
1016878,0.772958732,1882,34913
1037085,0.772869401,1146,21257
8902252,0.772724834,1553,28801
1016625,0.772139303,670,12416
8102737,0.772064963,3992,73970
1037037,0.771991746,2302,42651
8102671,0.771966494,5203,96397
8901902,0.771939095,2129,39443
1035958,0.771833117,1542,28564
1013703,0.771523517,1630,30182
1036670,0.771381227,1559,28862
8903101,0.771362537,1929,35711
1092304,0.771338352,3919,72549
7108804,0.771089189,4967,91920
1036386,0.770851993,4466,82623
1037199,0.770841677,2497,46195
1018443,0.770611057,2062,38136
8102793,0.770605074,3377,62456
1017854,0.770367784,6444,119142
1018187,0.77032403,5195,96044
8102566,0.770235873,5893,108936
1037032,0.769693609,2029,37481
1013698,0.769618178,1423,26284
1064621,0.769577663,1543,28499
1092252,0.769440655,5131,94752
1014491,0.769438244,448,8273
1017767,0.769341085,1075,19849
8102685,0.769262173,3368,62181
1037225,0.769216797,1147,21175
1035548,0.769015422,5879,108505
1014383,0.768918628,3101,57226
4101443,0.768533123,317,5847
1036061,0.768424036,1176,21688
1017924,0.768411293,2202,40609
1018094,0.76839223,1613,29746
8896506,0.768269082,2153,39698
1037047,0.768188178,1906,35140
1036495,0.7679818,2674,49286
1017274,0.76793375,5439,100243
1063431,0.767860013,2074,38221
1037034,0.767781117,1331,24526
1085541,0.767408417,1101,20278
5104523,0.767213522,1341,24692
1018377,0.766906086,5395,99299
1013794,0.766802709,2879,52983
8102579,0.766800535,6225,114560
1014392,0.766694152,6367,117157
1017837,0.766644368,2616,48133
1036497,0.766553544,5525,101645
1018262,0.766513449,1958,36020
8897491,0.766249092,459,8441
8104355,0.766203704,1602,29459
1036846,0.766047004,4801,88267
1036269,0.766041232,1439,26456
8910136,0.765941073,758,13934
1037156,0.76587358,3520,64701
8570426,0.765604414,2024,37190
1018016,0.765139421,1566,28757
8905977,0.765065389,2243,41185
1036762,0.764854823,5809,106633
1036242,0.764688146,2902,53259
8895949,0.764605323,5874,107791
8893890,0.764535538,1482,27193
1035732,0.764351392,2012,36909
8901578,0.764258643,1803,33071
8901672,0.764237313,2312,42406
1017505,0.764229466,1672,30667
1094912,0.764056225,747,13698
8902067,0.763981836,2092,38358
1036607,0.763951371,1556,28529
8570450,0.763827343,2031,37232
1037189,0.763784822,3470,63608
1017136,0.763685637,1845,33816
1036044,0.7636388,1555,28499
1036489,0.763589846,2508,45962
1036028,0.763428715,664,12166
1089240,0.763421799,2468,45219
1016587,0.763312811,3086,56534
1096917,0.762968805,1902,34828
1092216,0.762788779,1111,20339
5101880,0.762643981,5701,104348
1036281,0.762407286,1528,27959
1017058,0.761794689,703,12853
1036793,0.761768324,2574,47059
1094935,0.761682243,1926,35208
8624900,0.76163901,2531,46265
1037212,0.761535208,2561,46807
8897499,0.76143617,940,17178
8899643,0.761383106,3891,71101
8121510,0.761337148,1573,28742
1092330,0.761311748,3212,58688
1014303,0.761288998,406,7418
1091589,0.761246727,1782,32557
8623700,0.761226394,1518,27733
1013699,0.761211375,1219,22270
8905027,0.761189585,2938,53673
8901920,0.760841695,1495,27299
1035621,0.760770235,1149,20979
8102594,0.760747354,1512,27606
1017838,0.760716925,2255,41170
8903045,0.76046798,2842,51870
1018358,0.760416667,1776,32412
1036368,0.760207497,1494,27258
8909975,0.759701018,1572,28662
8902245,0.759619021,1763,32141
1036223,0.759601807,3541,64554
8102670,0.759305424,6318,115135
8102776,0.75922191,2851,51949
8892064,0.759182464,2532,46134
1037111,0.759116984,1627,29642
8894136,0.759104008,3817,69540
8904656,0.758917841,3051,55571
1094930,0.758900626,1278,23277
1018017,0.758847301,2124,38683
8102429,0.758764833,1545,28135
1062568,0.758626969,7322,133312
1016653,0.75862069,1682,30624
1017596,0.758517835,1355,24667
8901729,0.758494934,1908,34733
1018182,0.758325171,1021,18582
1018179,0.758301978,5847,106411
8901690,0.75829031,2518,45825
1017510,0.758034449,5409,98405
8102530,0.757594063,2897,52674
7106998,0.757581501,2638,47964
5103184,0.757552614,1473,26781
8897513,0.757409178,523,9507
1036350,0.757095553,5285,96030
8901843,0.756781811,1708,31022
1065830,0.756765464,776,14094
8902544,0.756698456,367,6665
1017843,0.756632556,1759,31942
1037203,0.756540782,2873,52165
1014861,0.756486368,1895,34405
1089213,0.756450389,1757,31898
8571902,0.756276709,1872,33978
8119410,0.756055556,750,13609
1091573,0.755936259,1846,33491
8102588,0.755907609,2659,48239
1036455,0.755851064,1410,25578
1036737,0.755834024,3621,65685
1015081,0.755742482,3403,61723
1013723,0.755593329,2868,52009
8102808,0.7555281,5261,95396
8101712,0.755451057,5343,96873
1035955,0.755330919,1657,30038
1037121,0.755314502,1717,31125
1017689,0.755290484,1268,22985
1016881,0.755216383,647,11727
1016661,0.755204506,1361,24668
8901722,0.75515924,2334,42301
1014161,0.755066546,551,9985
1089717,0.754888268,1432,25944
8902985,0.754835718,1258,22790
1037053,0.754787908,2106,38150
8901442,0.754720464,1580,28619
8895206,0.754463996,5143,93125
8622800,0.754413179,3465,62737
1097542,0.754251701,588,10644
5103284,0.7541423,684,12380
8102196,0.754098773,6628,119956
8102437,0.754034657,6723,121665
1017067,0.753720238,560,10130
1037102,0.753588021,4018,72670
1035898,0.753565361,3728,67423
1017384,0.753553029,5629,101802
1018069,0.753233555,1353,24459
1092266,0.753166139,6001,108474
1017987,0.752751878,1287,23251
8903315,0.752732875,5382,97229
1064476,0.752583979,387,6990
1094934,0.75240258,6330,114305
8905034,0.752294835,2433,43928
1036104,0.752018359,1507,27199
1037191,0.751992288,1945,35103
8897786,0.751877682,466,8409
1093313,0.751824251,2147,38740
1064655,0.751736111,1632,29444
1065280,0.751736111,504,9093
8902590,0.751647446,1821,32850
1017887,0.751607895,1503,27112
1014405,0.751523168,2079,37498
1017926,0.751495024,3651,65849
8102567,0.751338179,2958,53339
1036488,0.751331558,2253,40626
8102690,0.751306888,3252,58638
1036221,0.751084643,6108,110103
1036055,0.751022013,1060,19106
1064534,0.750899928,1852,33376
8902770,0.750873016,1050,18922
8897251,0.750778547,1445,26037
1064535,0.75074016,1914,34486
8901792,0.750691662,1747,31475
1017681,0.75054956,834,15023
1018632,0.75049561,1177,21200
1018254,0.750467336,1694,30511
1037029,0.750221278,1883,33904
1035995,0.750158428,789,14205
8897146,0.750043089,967,17407
1064819,0.75,1213,21834
1013689,0.749967295,1274,22931
1092245,0.749927969,6363,114523
1065194,0.749885057,725,13048
1064962,0.749870681,1611,28993
1017844,0.749831698,1733,31187
8901447,0.749824746,951,17114
1017357,0.749786287,5654,101743
1017345,0.749773551,1472,26488
7106807,0.749677776,5431,97716
1016652,0.749617152,653,11748
1035820,0.749554486,3741,67298
8897044,0.748998999,1332,23944
1092244,0.748859802,6322,113623
8902749,0.748794839,4702,84500
1014252,0.74879177,1207,21691
1018231,0.748771034,1763,31682
8102431,0.748736325,2407,43253
1018372,0.748554316,807,14498
1017706,0.748504538,808,14515
8901922,0.748452905,1589,28543
7107278,0.748435959,5408,97141
8904232,0.74840122,1694,30427
8901495,0.74829634,1712,30746
1092249,0.748278388,2275,40856
1014079,0.748216276,1495,26846
8901857,0.747985581,1572,28220
8104356,0.747960653,2084,37410
1035818,0.747848571,4222,75778
1037070,0.747835498,1309,23494
8141300,0.747796155,5653,101455
1065036,0.747751799,556,9978
1018482,0.74750119,2101,37692
1017581,0.747455471,5764,103400
1037183,0.747453311,589,10566
1017850,0.747441694,6303,113067
8903231,0.74739999,6891,123608
1018264,0.747350479,2469,44285
1094832,0.747180451,1197,21465
1037171,0.747098422,2154,38622
1037025,0.747065371,1647,29530
1013730,0.747064349,2129,38172
1017006,0.747033024,323,5791
1085211,0.747003227,723,12962
1036125,0.746970289,1279,22929
1017728,0.746953331,2407,43150
1036964,0.746946606,1542,27643
8102199,0.746932115,1915,34329
1037073,0.746837945,1265,22674
1037277,0.746655821,2305,41305
8909357,0.746608527,1290,23115
8902740,0.746580789,1572,28167
8902764,0.746504093,1466,26265
8571904,0.746484698,1612,28880
1013920,0.746421135,1921,34413
1065669,0.746052854,1974,35345
1035602,0.746028895,2088,37385
1036663,0.745901639,2318,41496
1036480,0.745760567,2634,47144
1037018,0.745620546,1684,30135
8901696,0.745589909,2636,47169
1037276,0.745570108,1298,23226
1036384,0.745414295,1581,28284
1035946,0.745297401,3553,63553
1018118,0.745289752,3503,62658
8901449,0.745177977,1901,33998
1018013,0.745072751,1260,22531
1065109,0.745002197,2276,40695
1037077,0.744929636,1208,21597
1091418,0.744916268,1254,22419
1036770,0.744678715,5395,96421
8897042,0.744650355,2064,36887
1094301,0.744614228,1996,35670
1037207,0.744474696,1561,27891
1018124,0.74447446,2036,36378
1094926,0.744463288,2506,44775
1036149,0.744428295,1548,27657
8630400,0.744346994,3221,57541
1014071,0.744298806,1564,27938
8894071,0.744280336,1151,20560
8901741,0.744231937,1098,19612
8899411,0.744219851,4873,87038
1016829,0.744161868,2084,37220
1036736,0.744161093,2990,53401
1036385,0.744099943,5233,93453
1036869,0.744041314,944,16857
8121600,0.744032922,810,14464
1065339,0.743800813,410,7319
8903281,0.743761882,2104,37557
1095758,0.743743449,1272,22705
8902825,0.743553527,2301,41062
8107429,0.743505477,1065,19004
1014485,0.743467882,1920,34259
1064602,0.743403756,1775,31669
1064794,0.743371212,572,10205
1018598,0.743356441,1154,20588
1017743,0.743281875,2915,52000
8901743,0.743266537,1547,27596
8102439,0.743222817,6726,119974
8104359,0.743215962,1775,31661
8102517,0.743205482,2177,38831
8901520,0.743199802,337,6011
8102535,0.743170458,1934,34495
1095752,0.743097937,1147,20456
1036445,0.742941296,1641,29260
8902357,0.742919547,1736,30953
1017068,0.742915905,547,9753
8102771,0.7428582,1126,20075
1018023,0.742815831,5504,98123
1017371,0.74272219,1729,30820
5103281,0.742628491,2244,39995
1036449,0.742582418,1365,24327
8901984,0.742464073,951,16946
7107091,0.742358557,1903,33905
8902254,0.742319082,1801,32086
1018405,0.742126681,942,16778
1065116,0.741925902,1543,27475
1017137,0.741881692,1899,33812
1037146,0.741875489,1277,22737
1036152,0.741613463,2976,52969
1017712,0.741588038,6147,109405
1036400,0.741575414,5114,91018
8901687,0.741550696,2515,44760
1018178,0.741522224,5077,90353
8903044,0.741346487,2889,51402
1017914,0.741215575,1404,24976
1097775,0.741210413,621,11047
1018081,0.741144594,1261,22430
8902665,0.741077802,467,8306
1017552,0.741068739,5533,98408
8122110,0.741018432,1067,18976
1017572,0.740973014,1754,31192
8898380,0.740813198,3642,64753
1091634,0.740765766,1295,23023
1017190,0.740762892,627,11147
1065285,0.740740741,504,8960
8102766,0.740647791,3885,69058
8902246,0.740538807,1559,27708
7106830,0.74040611,1342,23847
1097818,0.740390194,1149,20417
8902205,0.740390101,2337,41527
8902816,0.740364904,1626,28892
1085248,0.740204678,570,10126
1096707,0.740164096,1686,29950
8901694,0.74010146,1347,23926
8102804,0.739993687,3960,70329
1036773,0.739925987,1824,32391
1064812,0.739913097,537,9536
1036889,0.739897467,829,14721
1016832,0.739845261,2068,36720
8901673,0.739764026,2133,37870
1017511,0.739665057,1657,29415
8903105,0.739574528,1183,20998
8901738,0.739543983,1853,32889
1035900,0.73941402,3999,70966
1017741,0.739347572,3137,55664
1018382,0.739334471,5567,98781
7107090,0.739216748,1847,32768
1089613,0.73914187,1109,19673
1036751,0.739137765,1730,30689
8905922,0.739108953,5819,103221
8899412,0.739023565,4187,74263
1037210,0.739010098,3598,63815
8102570,0.738995842,1844,32705
8902601,0.738962156,1744,30930
1095254,0.738941176,2125,37686
1038297,0.738905325,507,8991
8102595,0.738847737,2025,35908
1014455,0.738814891,488,8653
8102586,0.738805325,5784,102558
1092340,0.738782051,780,13830
1064840,0.738769869,1447,25656
1092275,0.738593666,1242,22016
1036069,0.738585027,4132,73244
8636510,0.73852088,3608,63950
1035692,0.738490334,5966,105740
8102724,0.738387625,1934,34273
1036540,0.738339723,1826,32357
8903102,0.738301191,1763,31239
1037281,0.738262411,1175,20819
1016924,0.738258245,2264,40114
1018654,0.73823835,1123,19897
1036102,0.738213154,1262,22359
8102782,0.738201278,5894,104423
8901697,0.738199702,2906,51485
8911447,0.738184618,3463,61352
1095256,0.738174603,525,9301
1017720,0.738073827,1946,34471
1090111,0.738072995,1338,23701
1085417,0.738055349,1343,23789
1064620,0.738029466,1810,32060
8897123,0.737894144,1776,31452
1014413,0.737858327,1407,24916
1088912,0.737803097,1141,20204
8901992,0.73777065,1247,22080
8901853,0.737770041,1867,33058
8902695,0.737674761,453,8020
8102722,0.737621191,1444,25563
8902781,0.737332496,796,14086
8911456,0.737203586,1729,30591
1018294,0.737133495,5366,94931
8905029,0.7370338,2288,40472
1037072,0.736958266,1246,22038
8102746,0.736795293,2436,43076
1035524,0.736599043,2021,35728
1035523,0.736590452,2318,40978
8901676,0.736551393,2429,42938
1036402,0.736432967,5092,89998
1017569,0.736432118,5841,103236
1017876,0.736359935,1228,21702
8902255,0.736193294,1014,17916
1096750,0.73614532,406,7173
1035822,0.736125418,3883,68601
8107430,0.736050195,1368,24166
8901784,0.7360165,2202,38897
1065403,0.735995129,479,8461
1037162,0.735960274,3499,61803
8903300,0.7359272,5815,102706
8901564,0.735786225,513,9059
1037154,0.735651499,1934,34146
1018618,0.73560486,1262,22280
1017680,0.735591398,775,13682
1017771,0.735555983,5204,91868
8905768,0.735452138,4405,77752
1095262,0.735339812,2521,44491
1036500,0.735296935,2610,46059
8102197,0.735288986,5254,92717
8901695,0.735193211,923,16286
1036184,0.735139609,1158,20431
1017980,0.735127755,1709,30152
1035994,0.735001373,1214,21415
8903229,0.734954637,4960,87489
8902595,0.734912616,1831,32295
1091647,0.734908136,508,8960
8902207,0.734888498,2556,45081
8901486,0.734885858,1723,30389
1064965,0.73478836,378,6666
1094925,0.73477437,1891,33347
1092324,0.734716157,916,16152
1037097,0.734677174,2189,38597
1017764,0.734661103,6590,116194
1065139,0.734636422,518,9133
8904645,0.734618438,3359,59222
1094927,0.734613821,2050,36143
1037167,0.734545455,1375,24240
1092282,0.734395532,761,13413
8100840,0.734316031,5741,101177
1037155,0.73428645,1294,22804
1037145,0.734172556,1698,29919
1097538,0.734126984,567,9990
8899651,0.734122168,1648,29036
1036185,0.733944954,872,15360
1013694,0.733909064,2258,39772
1018117,0.733906728,1090,19199
8902353,0.733873569,2067,36406
1064431,0.733825283,559,9845
1013728,0.733816877,2137,37636
1037206,0.733738465,1481,26080
1036820,0.733626242,6003,105695
1065143,0.733430092,689,12128
1017559,0.733391664,5286,93041
8897511,0.733367983,481,8466
1017979,0.7333383,1678,29533
1036442,0.733112476,1547,27219
8902602,0.733083957,2005,35276
1064429,0.732886905,728,12805
1036451,0.732772935,1606,28244
1037008,0.73271537,1362,23951
1036758,0.732567191,2034,35761
1018170,0.732545702,1714,30134
8903228,0.732534573,1398,24578
1017111,0.732518116,460,8087
8901903,0.732511945,6209,109156
1089620,0.732496195,1095,19250
