,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,전체-평일,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0~1시,1~2시,2~3시,3~4시,4~5시,5~6시,6~7시,7~8시,8~9시,9~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시
1013669,1160001701,일반국도,경인로,서울특별시 구로구,0.1570,6,58,59,59,60,56,58,51,46,40,42,43,49,52,49,49,49,49,47,50,52,52,53,54,55
1013670,1160001801,일반국도,경인로,서울특별시 구로구,0.1570,6,50,53,54,55,50,54,46,43,42,44,44,45,45,44,43,42,42,40,32,32,40,41,43,47
1013671,1160055000,특별광역시도,경인로,서울특별시 구로구,0.0820,1,24,26,25,26,24,25,24,23,23,24,24,24,25,24,24,24,24,23,23,21,23,23,24,24
1013672,1160001302,일반국도,경인로,서울특별시 구로구,0.0950,6,36,40,41,42,38,41,36,32,29,32,31,31,31,30,29,28,27,26,18,20,27,28,29,34
1013673,1160001402,일반국도,경인로,서울특별시 구로구,0.0950,6,55,56,56,57,53,55,51,49,44,44,46,48,49,48,48,49,48,48,50,51,50,51,52,53
1013674,1160055000,특별광역시도,남부순환로,서울특별시 구로구,0.0540,1,17,16,16,16,18,17,17,15,14,15,15,15,16,16,16,16,16,15,15,14,15,14,15,16
1013675,1160054300,특별광역시도,경인로,서울특별시 구로구,0.0370,2,45,46,48,50,44,48,43,40,35,38,38,39,38,37,37,36,36,35,30,31,37,37,39,43
1013676,1160055000,특별광역시도,경인로,서울특별시 구로구,0.0370,2,40,38,36,40,35,39,36,36,35,36,36,35,35,36,36,36,37,36,35,35,37,37,35,36
1013677,1160055800,특별광역시도,남부순환로,서울특별시 구로구,0.1960,2,35,36,36,36,35,35,35,33,33,32,32,32,32,32,31,31,30,31,30,29,31,32,33,34
1013678,1160056200,특별광역시도,남부순환로,서울특별시 구로구,0.1960,2,36,36,36,35,34,36,33,34,34,32,30,30,31,30,30,30,30,32,32,32,32,33,34,35
